date,open,high,low,adjClose,value,volume,count,close,jdate
2016-06-13,10796.0,10796.0,10796.0,10796.0,21592000,2000,1,10796.0,1395-03-24
2016-06-15,10808.0,10808.0,10808.0,10808.0,54040000,5000,1,10808.0,1395-03-26
2016-06-19,10830.0,10830.0,10830.0,10830.0,54150000,5000,1,10830.0,1395-03-30
2016-06-20,10871.0,10871.0,10836.0,10854.0,2181571,201,2,10836.0,1395-03-31
2016-06-25,10864.0,10901.0,10864.0,10866.0,22818100,2100,2,10901.0,1395-04-05
2016-07-05,10921.0,10921.0,10921.0,10921.0,21842000,2000,1,10921.0,1395-04-15
2016-07-10,10950.0,10950.0,10950.0,10950.0,54750000,5000,1,10950.0,1395-04-20
2016-07-11,10956.0,10956.0,10956.0,10956.0,10956000,1000,1,10956.0,1395-04-21
2016-07-16,10984.0,10984.0,10984.0,10984.0,32952000,3000,1,10984.0,1395-04-26
2016-07-19,11001.0,11001.0,11001.0,11001.0,22002000,2000,1,11001.0,1395-04-29
2016-07-27,11047.0,11047.0,11047.0,11047.0,994230,90,1,11047.0,1395-05-06
2016-08-02,11079.0,11079.0,11079.0,11079.0,2215800,200,1,11079.0,1395-05-12
2016-08-07,11106.0,11106.0,11106.0,11106.0,1110600,100,1,11106.0,1395-05-17
2016-08-13,11137.0,11137.0,11137.0,11137.0,55685000,5000,1,11137.0,1395-05-23
2016-08-22,11185.0,11185.0,11185.0,11185.0,33555000,3000,1,11185.0,1395-06-01
2016-08-30,11228.0,11228.0,11228.0,11228.0,33684000,3000,1,11228.0,1395-06-09
2016-09-04,11255.0,11255.0,11255.0,11255.0,22510000,2000,1,11255.0,1395-06-14
2016-09-11,11292.0,11351.0,11292.0,11298.0,25047167,2217,2,11351.0,1395-06-21
2016-09-13,11303.0,11303.0,11303.0,11303.0,2452751,217,1,11303.0,1395-06-23
2016-09-21,11346.0,11346.0,11346.0,11346.0,22692000,2000,1,11346.0,1395-06-31
2016-10-02,11406.0,11406.0,11406.0,11406.0,5703000,500,1,11406.0,1395-07-11
2016-10-17,11488.0,11488.0,11488.0,11488.0,5744000,500,1,11488.0,1395-07-26
2016-10-22,11515.0,11515.0,11515.0,11515.0,5757500,500,1,11515.0,1395-08-01
2016-11-08,11606.0,11606.0,11606.0,11606.0,5803000,500,1,11606.0,1395-08-18
2016-11-13,11632.0,11632.0,11632.0,11632.0,5816000,500,1,11632.0,1395-08-23
2016-12-10,11776.0,11860.0,11776.0,11781.0,62793800,5330,2,11860.0,1395-09-20
2016-12-28,11872.0,11872.0,11872.0,11872.0,59360000,5000,1,11872.0,1395-10-08
2017-01-15,11969.0,11969.0,11969.0,11969.0,5984500000,500000,5,11969.0,1395-10-26
2017-01-22,12007.0,12007.0,12007.0,12007.0,24014000,2000,1,12007.0,1395-11-03
2017-02-21,12187.0,12187.0,12187.0,12187.0,36670683,3009,2,12187.0,1395-12-03
2017-02-28,12230.0,12230.0,12230.0,12230.0,4035900,330,1,12230.0,1395-12-10
2017-03-15,12322.0,12322.0,12322.0,12322.0,12322000,1000,1,12322.0,1395-12-25
2017-04-03,12561.0,12561.0,12561.0,12561.0,3981837,317,1,12561.0,1396-01-14
2017-05-09,12665.0,12665.0,12665.0,12665.0,1532465,121,1,12665.0,1396-02-19
2017-05-20,12735.0,12735.0,12735.0,12735.0,2547000,200,1,12735.0,1396-02-30
2017-06-19,12927.0,12927.0,12927.0,12927.0,12927000,1000,1,12927.0,1396-03-29
2017-08-22,13339.0,13339.0,13339.0,13339.0,13339000,1000,1,13339.0,1396-05-31
2017-09-12,13473.0,13473.0,13473.0,13473.0,13473000,1000,1,13473.0,1396-06-21
2017-09-17,13689.0,13689.0,13689.0,13689.0,20533500,1500,1,13689.0,1396-06-26
2017-09-20,13710.0,13710.0,13710.0,13710.0,61697330700,4500170,361,13710.0,1396-06-29
2017-10-04,13615.0,13615.0,13615.0,13615.0,20422500,1500,1,13615.0,1396-07-12
2017-10-09,13648.0,13648.0,13648.0,13648.0,13648000,1000,1,13648.0,1396-07-17
2017-10-10,13654.0,13654.0,13654.0,13654.0,4328318,317,1,13654.0,1396-07-18
2017-10-23,13739.0,13739.0,13739.0,13739.0,13739000,1000,1,13739.0,1396-08-01
2017-10-28,13966.0,13966.0,13966.0,13966.0,69830000,5000,1,13966.0,1396-08-06
2017-11-05,13813.0,13813.0,13813.0,13813.0,69065000,5000,1,13813.0,1396-08-14
2018-01-07,14381.0,14381.0,14381.0,14381.0,14381000,1000,1,14381.0,1396-10-17
2018-02-03,14297.0,14297.0,14297.0,14297.0,14297000,1000,1,14297.0,1396-11-14
2018-02-18,14829.0,14829.0,14829.0,14829.0,66730500000,4500000,180,14829.0,1396-11-29
2018-07-08,14297.0,14297.0,14297.0,14297.0,14297000,1000,1,14297.0,1397-04-17
2019-01-19,12153.0,12562.0,12153.0,12559.0,40252597600,3205200,132,12153.0,1397-10-29
2019-01-23,11937.0,11937.0,11937.0,11937.0,26261400,2200,1,11937.0,1397-11-03
2019-01-30,12214.0,12214.0,12214.0,12214.0,1221400,100,1,12214.0,1397-11-10
2019-02-04,12242.0,12562.0,12002.0,12555.0,40528136000,3228000,132,12002.0,1397-11-15
2019-02-05,12007.0,12007.0,12007.0,12007.0,1200700,100,1,12007.0,1397-11-16
2019-03-16,12466.0,12466.0,12466.0,12466.0,59998858,4813,1,12466.0,1397-12-25
2019-03-25,12271.0,12271.0,12271.0,12271.0,59060323,4813,1,12271.0,1398-01-05
